data_year,hid,pid,weight,dla_prob,rec_dla,scotland
2016,17550,120161755005,562,0.001471773941116523,false,true
2016,18843,120161884305,691,0.001471773941116523,false,true
2017,11199,120171119902,952,0.001471773941116523,false,true
2017,14720,120171472003,520,0.001471773941116523,false,true
2018,225,120180022502,834,0.001471773941116523,false,true
2018,3608,120180360803,1278,0.001471773941116523,false,true
2018,6551,120180655104,878,0.001471773941116523,false,true
2018,7028,120180702803,794,0.001471773941116523,false,true
2018,9224,120180922403,899,0.001471773941116523,false,true
2018,10108,120181010803,657,0.001471773941116523,false,true
2018,18499,120181849903,943,0.001471773941116523,false,true
2019,595,120190059504,759,0.001471773941116523,false,true
2019,1336,120190133602,587,0.001471773941116523,false,true
2019,2413,120190241303,1284,0.001471773941116523,false,true
2019,11486,120191148603,579,0.001471773941116523,false,true
2019,13920,120191392002,619,0.001471773941116523,false,true
2021,11322,120211132203,1177,0.001471773941116523,false,true
2021,13000,120211300003,1511,0.001471773941116523,false,true
2015,7523,120150752303,689,0.0009842603764827272,false,true
2015,14333,120151433303,726,0.0009842603764827272,false,true
2015,15033,120151503304,1655,0.0009842603764827272,false,true
2015,16944,120151694402,847,0.0009842603764827272,false,true
2015,17152,120151715205,1390,0.0009842603764827272,false,true
2016,4648,120160464803,705,0.0009842603764827272,false,true
2016,4744,120160474402,718,0.0009842603764827272,false,true
2016,4968,120160496803,680,0.0009842603764827272,false,true
2016,5613,120160561303,892,0.0009842603764827272,false,true
2016,12050,120161205003,637,0.0009842603764827272,false,true
2017,2778,120170277803,651,0.0009842603764827272,false,true
2017,2840,120170284002,594,0.0009842603764827272,false,true
2017,3063,120170306303,659,0.0009842603764827272,false,true
2017,11703,120171170302,802,0.0009842603764827272,false,true
2018,5799,120180579902,1062,0.0009842603764827272,false,true
2018,410,120180041002,628,0.0009842603764827272,false,true
2018,4314,120180431403,877,0.0009842603764827272,false,true
2018,7311,120180731102,790,0.0009842603764827272,false,true
2018,9048,120180904804,1161,0.0009842603764827272,false,true
2019,2681,120190268103,852,0.0009842603764827272,false,true
2019,3927,120190392703,1849,0.0009842603764827272,false,true
2019,4643,120190464304,1412,0.0009842603764827272,false,true
2019,6132,120190613203,958,0.0009842603764827272,false,true
2019,6356,120190635602,681,0.0009842603764827272,false,true
2019,13806,120191380603,1855,0.0009842603764827272,false,true
2019,14753,120191475302,595,0.0009842603764827272,false,true
2020,7056,120200705604,1539,0.0009842603764827272,false,true
2021,3294,120210329402,3216,0.0009842603764827272,false,true
2021,188,120210018804,679,0.0009842603764827272,false,true
2021,3847,120210384702,613,0.0009842603764827272,false,true
2021,7274,120210727404,1541,0.0009842603764827272,false,true
2021,9910,120210991002,1343,0.0009842603764827272,false,true
2015,2199,120150219902,1304,0.00031670781524710767,false,true
2015,4159,120150415902,1758,0.00031670781524710767,false,true
2015,18463,120151846303,1668,0.00031670781524710767,false,true
2015,210,120150021003,1171,0.00031670781524710767,false,true
2015,210,120150021004,1171,0.00031670781524710767,false,true
2015,246,120150024603,682,0.00031670781524710767,false,true
2015,246,120150024604,682,0.00031670781524710767,false,true
2015,261,120150026103,1413,0.00031670781524710767,false,true
2015,298,120150029804,685,0.00031670781524710767,false,true
2015,356,120150035607,652,0.00031670781524710767,false,true
2015,396,120150039604,652,0.00031670781524710767,false,true
2015,436,120150043603,825,0.00031670781524710767,false,true
2015,436,120150043604,825,0.00031670781524710767,false,true
2015,486,120150048602,771,0.00031670781524710767,false,true
2015,486,120150048603,771,0.00031670781524710767,false,true
2015,525,120150052503,754,0.00031670781524710767,false,true
2015,579,120150057903,649,0.00031670781524710767,false,true
2015,579,120150057905,649,0.00031670781524710767,false,true
2015,579,120150057906,649,0.00031670781524710767,false,true
2015,747,120150074702,958,0.00031670781524710767,false,true
