# Date	Employment (16+, millions)	Employment rate (16+, per cent)	Employees (16+, millions)	ILO unemployment (16+, millions)	ILO unemployment rate (16+, per cent)	Participation rate (16+, per cent)	Average hours worked	Total hours worked (millions)	Labour share (per cent)	Compensation of employees                    (£ billion) (a)	Wages and salaries (£ billion) (a-b)	Employers social contributions (£ billion) (b)	Mixed income (£ billion)	Average earnings growth (per cent)	Average earnings index (2008Q1=100)	Average hourly earnings index (2008Q1=100)	Productivity per hour index (2008Q1 =100)	Productivity per worker index (2008Q1 =100)	Real product wage (2008Q1 =100)	Real consumption wage (2008Q1 =100)	RPI	RPIX	CPI	Producer output prices	Mortgage interest payments	Actual rents for housing	Consumer expenditure deflator	GDP deflator	Bank Rate	3-month LIBOR	Long-term interest rates	Average mortgage rate	Trade-weighted sterling	US$/£ exchange rate	€/£ exchange rate	Oil prices ($)	Equity prices	Total compensation of employees	Gross operating surplus of private corporations	Other income	Gross value added at factor cost	Taxes on products and production less subsidies	Statistical discrepancy (income)	GDP at market prices	1.4 Nominal GDP (£ billion, non-seasonally adjusted)
Date	Employment	Employment rate	Employees	ILO unemployment	ILO unemployment rate	Participation rate	Average hours worked	Total hours worked	Labour share	Compensation of employees	Wages and salaries	Employers social contributions	Mixed income	Average earnings growth	Average earnings	Average hourly earnings	Productivity per hour	Productivity per worker	Real product wage	Real consumption wage	RPI	RPIX	CPI	Producer output prices	Mortgage interest payments	Actual rents for housing	Consumer expenditure deflator	GDP deflator	Bank Rate	three-month LIBOR	Long-term interest rates	Average mortgage rate	Trade-weighted sterling	dollar_exchange rate	euro_exchange rate	Dollar_Oil prices	Equity prices	Total compensation of employees	Gross operating surplus of private corporations	Other income	Gross value added at factor cost	Taxes on products and production less subsidies	Statistical discrepancy (income)	GDP at market prices	Nominal GDP
2010Q3	29.3853224281	58.4570426975	25.3393224281	2.4702899153	7.7546458335	63.3712594262	31.5445560352	926.9469499457	63.7420247178	205.833	169.944	35.889	22.751	0.5418280258	103.6520509062	105.7231634823	99.3207098459	97.3750210824	101.3436377651	100.4382791542	224.4666666667	223.5666666667	89.6113333333	100.2	226.8	87.711	88.8407289692	90.8	0.5	0.73263	4.0318	3.57	81.8	1.5512	1.1995	76.4051515152	2867.6	205.833	80.7615832	66.6084168	353.203	44.694	0	397.897	396.246
2010Q4	29.3244105553	58.2029562006	25.3154105553	2.5026470355	7.8632686303	63.1701986117	31.7437870914	930.8678452481	62.9563175616	204.969	169.324	35.645	22.399	0.6084107017	103.3714493988	104.7752094235	99.2490913285	97.9193692725	100.5734168597	99.1807338292	227	226.1	90.5186666667	101.1	228.5	88.068	89.6741482718	91.4	0.5	0.74214	4.0978	3.5066666667	80.3	1.5809	1.1639	86.7948723257	3062.9	204.969	84.1964624	66.5185376	355.683	45.496	0	401.179	403.369
2011Q1	29.4410760674	58.3029265522	25.4580760674	2.4832208035	7.778466707	63.220513117	31.6324749255	931.2941004827	62.5959679196	207.075	171.743	35.332	23.091	2.2753159244	104.2606735676	106.0483762866	99.8499161987	98.1667035657	99.8410305592	98.1656044343	230.9333333333	230.1333333333	91.8466666667	102.8	230.3	88.3873333333	91.0194308741	93	0.5	0.79344	4.3441	3.4966666667	80.9	1.6028	1.171	104.8970300207	3067.7	207.075	88.3814341	67.2925659	362.749	48.397	0	411.146	416.271
2011Q2	29.4465625076	58.1821668636	25.4385625076	2.5397216543	7.9400334263	63.2002911027	31.2897121461	921.3744645562	62.9464542396	206.726	170.825	35.901	23.179	1.3556477957	103.7829292193	106.7188228044	101.0109431253	98.2320764535	100.3976420247	97.1433820255	234.9333333333	234.2333333333	93.2606666667	104.7	232.1	89.4886666667	91.8926310178	92.3	0.5	0.82333	4.181	3.47	79.4	1.629	1.1329	117.1221284271	3096.72	206.726	85.1977374	67.5802626	359.504	49.283	0	408.787	402.456
2011Q3	29.2806355876	57.7513398199	25.1596355876	2.6617300666	8.3329146483	63.0011738656	31.658529687	926.9818710027	62.8240316335	206.008	170.162	35.846	23.573	0.8433806675	104.5262322651	106.230988963	100.5082127372	98.8952930936	101.1581124895	97.2640408678	236.2333333333	235.5333333333	93.8283333333	105.3	232.2	90.332	92.4738206325	92.4	0.5	0.8685	3.7445	3.4	79.2	1.6092	1.1402	112.4734650856	2654.38	206.008	84.9190959	68.7389041	359.666	50.596	0	410.262	408.117
2011Q4	29.3420149707	57.7836246992	25.2240149707	2.6886796609	8.3940722856	63.0784777153	31.5598261049	926.0288900428	62.3117302972	207.127	169.646	37.481	23.394	0.5531926027	103.9432926102	105.9689272274	100.633942593	98.7102881491	100.2532134592	97.1038333637	238.6333333333	238.0333333333	94.724	105.5	231.7	90.609	92.8918249267	93.2	0.5	1.01311	3.0827	3.3666666667	80.2	1.5716	1.166	109.3142207792	2857.88	207.127	87.558848	69.423152	364.109	50.242	0	414.351	417.702
2012Q1	29.4536418867	57.9144847191	25.2676418867	2.6345568834	8.2103607693	63.0947950166	31.7400821119	934.8610119781	62.5348742381	209.126	170.334	38.792	23.984	-0.0729268823	104.1846395089	105.6117689534	100.5727218586	99.2136849435	101.1543008615	97.2427525649	239.5666666667	238.9333333333	95.0523333333	106.1	232.2	91.0273333333	93.4926445433	93.3	0.5	1.06539	3.0635	3.3666666667	81.1729	1.5713	1.1985	118.54	3002.78	209.126	86.2673188	71.9106812	367.303	50.199	0	417.502	422.095
2012Q2	29.6669155332	58.2450379339	25.4449155332	2.5768029352	7.9916432025	63.3040736311	31.7298377143	941.3264153524	63.0219368646	210.441	172.822	37.619	25.135	1.1437729939	104.969970336	106.4422124878	99.7488317256	98.3691682328	100.5423851873	96.5271463002	242.2333333333	241.6	95.8303333333	106.5	234.3	92.4996666667	94.1176872445	93.4	0.5	0.99	2.9334	3.38	83.1518	1.5834	1.2344	108.9	2891.45	210.441	84.0718201	73.1921799	367.705	50.393	0	418.098	412.809
2012Q3	29.7586295577	58.3339148195	25.5266295577	2.5385226223	7.8598961549	63.3100163612	31.951349242	950.8283659599	62.6535153353	214.964	175.486	39.478	25.779	1.6461102716	106.2468493109	106.9900837334	99.791074357	99.0978497241	100.6575981009	98.5410750869	243.1	242.3666666667	96.092	106.8	238.7	93.374	93.8742181835	94.7	0.5	0.72598	2.6824	3.3733333333	84.0804	1.5798	1.2633	109.95	2998.86	214.964	89.5442535	73.4657465	377.974	50.774	0	428.748	424.522
2012Q4	29.9077742285	58.5343119746	25.6497742285	2.534936634	7.8135783557	63.4955896222	31.887161436	953.6740250163	62.1290975977	212.718	175.489	37.229	25.918	1.7271655614	105.7385653635	106.6925813587	99.3703763763	98.4818335432	99.0238942638	96.2332132183	246	245.2	97.253	107.1	242.8	93.9073333333	94.6644852263	95.2	0.5	0.52979	2.8077	3.38	83.6261	1.6058	1.2384	110.44	3093.41	212.718	91.4966969	73.5273031	377.743	52.326	0	430.069	434.991
