"datayear"	"uniqidnew"	"shelter_1"	"shelter_2"	"shelter_3"	"tenure_1"	"tenure_2"	"tenure_3"	"singlepar_1"	"singlepar_2"	"singlepar_3"	"numadults_1"	"numadults_2"	"numadults_3"	"numkids_1"	"numkids_2"	"numkids_3"	"acctype_1"	"acctype_2"	"acctype_3"	"agehigh_1"	"agehigh_2"	"agehigh_3"	"empstathigh_1"	"empstathigh_2"	"empstathigh_3"	"ethnichigh_1"	"ethnichigh_2"	"ethnichigh_3"	"sochigh_1"	"sochigh_2"	"sochigh_3"	"datayear_1"	"datayear_2"	"datayear_3"
17	"242135.08"	0	0	0	3	2	2	0	0	0	1	1	-888	0	0	0	4	2	2	61	12	3	8	5	3	1	1	1	0	0	1	17	1	1
17	"242227.34"	0	0	0	3	2	2	0	0	0	3	3	2	0	0	0	4	2	2	42	8	2	1	1	1	2	1	1	6	4	1	17	1	1
17	"242340.48"	0	0	0	5	2	2	0	0	0	2	2	1	1	1	1	4	2	2	33	6	1	1	1	1	1	1	1	9	4	1	17	1	1
17	"242459.63"	0	0	0	3	2	2	0	0	0	1	1	-888	0	0	0	2	1	1	80	16	4	2	1	1	1	1	1	5	3	1	17	1	1
17	"242634.94"	0	0	0	6	3	3	0	0	0	2	2	1	2	2	1	1	1	1	36	7	1	1	1	1	1	1	1	5	3	1	17	1	1
17	"242708.07"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	3	1	1	26	5	1	1	1	1	1	1	1	6	4	1	17	1	1
17	"242761.51"	0	0	0	3	2	2	0	0	0	2	2	1	0	0	0	4	2	2	51	10	2	1	1	1	1	1	1	6	4	1	17	1	1
17	"242797.51"	0	0	0	5	2	2	0	0	0	1	1	-888	0	0	0	4	2	2	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
17	"242901.85"	0	0	0	3	2	2	0	0	0	2	2	1	3	3	1	3	1	1	30	6	1	1	1	1	1	1	1	2	1	1	17	1	1
17	"243138.54"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	1	1	1	57	11	2	1	1	1	1	1	1	5	3	1	17	1	1
