date	cpi	actual_rents_for_housing	rpix	nom_gdp_uk_index	average_earnings_uk	mortgage_interest_payments	equity_prices	nominal_gdp	average_earnings
#	Scotben Price and Income indexes	8th April 2022	Sources:	https://www.fiscalcommission.scot/publications/scotlands-economic-and-fiscal-forecasts-december-2021/		https://obr.uk/		Economic and Fiscal Outlook March 2022	
# Date	D7BT	D7CE	DQAD	YBEU	Obr 1.6 1.18	DOBQ	EQUITY	NGDP	
#	CPI INDEX 00: ALL ITEMS 2015=100	CPI INDEX 04.1 : ACTUAL RENTS FOR HOUSING 2015=100	RPI:all items ex. mortgage interest payments & council tax (Jan 87=100)	Gross Domestic Product index: Current price: Seasonally adjusted	Average earnings index (2008Q1=100)	RPI: housing: mortgage interest payments (Jan 1987=100)	Equity prices		Nominal average hourly wage (£/hour)
#	UPDATED 8th April 2022		Source: OBR Supp Mar 2022 table 1.7		£	MM23			Scotland_s-Economic-and-Fiscal-Forecasts-August-2021-Annex-B-Charts-and-Tables.xls
#	Index, base year = 100	Index, base year = 100	Index, base year = 100			Index, base year = 100	OBR: able 1.9 Economy_supplementary_tables_EFO_March_2021.xlsx		SFC https://www.fiscalcommission.scot/publication-categories/analytical/
2012 Q4	97.253	93.9073333333333	245.2	77.3965839320387	103.637960813512	242.8	3093.41	439.457	16.38
2013 Q1	97.6913333333333	93.959	246.666666666667	77.8917767747994	103.36274398005	242.4	3280.64	442.821	16.04
2013 Q2	98.398	94.815	249	78.6833404056165	107.228779828977	243.566666666667	3289.71	442.328	16.58
2013 Q3	98.695	95.5213333333333	250.166666666667	80.3363480325972	107.765053901488	244.566666666667	3443.85	447.238	16.58
2013 Q4	99.298	95.6766666666667	251.833333333333	81.1248965207471	109.518511696337	244	3609.63	460.768	16.75
2014 Q1	99.3903333333333	95.8683333333333	253.266666666667	82.0482396222558	109.479438817296	243.3	3555.59	467.545	16.71
2014 Q2	100.091	96.9876666666667	255.466666666667	82.7617642663914	109.308808661169	242.766666666667	3600.19	464.902	16.78
2014 Q3	100.132	97.7673333333333	256.366666666667	83.8786085826036	108.388262435176	244.1	3533.93	466.991	16.6
2014 Q4	100.226666666667	98.2393333333333	256.933333333333	84.0699814613066	109.103405692252	243.933333333333	3521.22	476.724	16.56
2015 Q1	99.4903333333333	98.5586666666667	255.866666666667	84.7618680227714	109.399334744927	244.133333333333	3663.58	479.773	16.68
2015 Q2	100.074333333333	99.671	258.033333333333	85.9168450256575	110.6872977745	243.333333333333	3570.58	481.292	16.67
2015 Q3	100.141666666667	100.589666666667	259	86.0958026110249	111.451507864903	241.866666666667	3335.92	481.588	16.83
2015 Q4	100.294	101.180666666667	259.633333333333	86.4572650084269	111.632427891562	240.633333333333	3444.26	492.559	16.87
2016 Q1	99.8353333333333	101.447666666667	259.633333333333	87.6835412673265	112.735425435565	239.966666666667	3291.62564516129	497.927	17.05
2016 Q2	100.426	101.507	261.966666666667	89.0857599689263	113.676713905539	238.966666666667	3403.71333333333	500.679	17.06
2016 Q3	100.869	101.874333333333	264.2	89.8432702237369	114.280307889063	234.166666666667	3677.46	500.645	17.19
2016 Q4	101.508666666667	102.195666666667	266.066666666667	91.0610331386349	114.139988813471	226.866666666667	3760.93746031746	517.387	16.99
2017 Q1	101.975333333333	102.675	268.1	91.9428736881358	114.880540283009	225	3953.26953	521.09	17.03
2017 Q2	103.180666666667	102.606	272	92.4183794228928	116.321939889683	224.366667	4046.24967	517.557	17.31
2017 Q3	103.710333333333	102.787333333333	274.833333333333	93.1180698830258	117.07035979795	223.2	4043.95766	520.382	17.29
2017 Q4	104.576	102.826666666667	276.966666666667	94.4727557472831	117.564998001633	226.266667	4106.16857	538.114	17.43
2018 Q1	104.746666666667	102.997333333333	277.966666666667	95.0451007700586	118.437998790119	230	4048.65317	535.685	17.49
2018 Q2	105.674	102.972	281.2	95.9354546635611	118.371516173447	229.366667	4155.36565	536.616	17.28
2018 Q3	106.319	103.295666666667	283.9	96.9815318077598	120.488321983341	232.866667	4157.52062	542.782	17.76
2018 Q4	106.948	103.493333333333	285.3	97.6888488052275	122.103825297479	238.933333	3837.40203	559.297	17.99
2019 Q1	106.710666666667	103.692333333333	284.766666666667	98.8344256574452	122.439823014081	239.7	3874.55063	561.009	18.12
2019 Q2	107.838	103.825	289.466666666667	99.5841320135876	123.111876132171	239.433333	4024.55918	554.257	18.23
2019 Q3	108.267666666667	104.009	291.233333333333	100.819098977822	124.297423644252	240.4	4029.83185	563.283	18.63
2019 Q4	108.459666666667	104.262333333333	291.633333333333	100.762343351145	124.076969304768	240.566667	4044.54438	576.734	18.4
2020 Q1	108.489666666667	104.479333333333	292.366666666667	99.715734122946	124.584394706981	237.8	3806.11406	566.926	18.72
2020 Q2	108.503	105.204	293.466666666667	86.6555549791312	121.69851242535	226.933333	3303.38492	485.734	18.99
2020 Q3	108.913666666667	105.855	295.133333333333	96.9285007690831	126.301713308356	221.1	3373.12308	538.025	19.08
2020 Q4	109.038333333333	106.100666666667	295.6	98.4963749560476	130.059624987795	220.7	3491.94516	561.961	19.6
2021 Q1	109.151	106.379666666667	297.033333333333	98.6689475334138	131.059892083267	220.733333	3790.13825	556.137	19.77
2021 Q2	110.729333333333	106.844333333333	303.766666666667	102.617720259497	132.93309956297	221.3	4005.1718	570.943	19.82
2021 Q3	111.932333333333	107.386333333333	308.7	104.092657107778	134.001327036644	221.8	4067.96231	582.131	19.8
2021 Q4	114.389333333333	108.129	316.366666666667	105.68518452008	135.685995178614	222.233333	4126.01812	608.456	19.91
2022 Q1	115.466757597637	108.929961488702	320.850527922726	106.710800374055	137.575729973456	243.388147	4181.68146	602.871845	20.03
2022 Q2	119.272896197082	110.344867736493	333.848636687876	109.394290117914	140.00614413675	267.595193	4111.102	609.743821	20.17
2022 Q3	120.300664355722	111.064761965093	337.675357565755	110.351948558119	141.960645054908	292.918032	4147.09137	617.097428	20.31
2022 Q4	124.376520726369	111.51560308052	348.758394392056	112.330959972651	142.677664939128	315.105746	4221.46379	644.264693	20.45
2023 Q1	124.803454377157	113.387749506728	350.469903999459	113.557871539847	143.293919645019	332.566039	4267.57185	642.064923	20.6
2023 Q2	123.474574279086	115.130040497887	348.425460797598	114.343389986977	144.102787294041	349.881918	4297.09209	636.643461	20.76
2023 Q3	124.331043466681	115.870512023394	351.46364478767	115.693211361944	144.940772336357	365.221321	4347.81918	646.786058	20.91
2023 Q4	126.185570392848	116.356327374708	356.127150358374	116.943486205501	145.829681778732	373.841309	4394.80525	671.114133	21.07
2024 Q1	126.304315447457	117.17514961786	356.927528278898	118.120675764416	146.768759924718	372.100528	4439.04472	666.990292	21.24
2024 Q2	125.586142002294	118.273416765046	356.852044889564	119.172840304299	147.805673814035	373.166095	4478.58569	663.695048	21.4
2024 Q3	126.345624449089	118.988004797936	359.725334836958	120.324523529863	148.85836869364	374.267215	4521.86662	672.816346	21.57
2024 Q4	128.215494465868	119.475927989307	364.562162881036	121.417671839853	149.938305803429	374.076175	4562.94778	697.401054	21.74
2025 Q1	128.407991376546	120.056856620974	365.689569173612	122.52033966469	150.975845119313	368.669875	4604.38669	692.254138	21.92
2025 Q2	127.97850738048	121.001549784726	366.288135109151	123.633205411472	152.116995819095	368.645518	4646.20884	688.717667	22.1
2025 Q3	128.80632307237	121.730628814103	369.462020271896	124.765749220829	153.239180943742	369.908167	4688.77051	697.61907	22.28
2025 Q4	130.779804355186	122.231832084316	374.683734068382	125.863736834801	154.435955068465	371.068882	4730.03353	722.374937	22.46
2026 Q1	130.976151204077	122.85925346715	375.897465343602	126.977529826634	155.629112758937	367.862959	4771.89053	717.460214	22.65
2026 Q2	130.53807752809	123.845355368251	376.557895858646	128.132721968817	156.943917630503	368.678601	4815.30333	713.609513	22.84
2026 Q3	131.382449533817	124.591539919087	379.862545139733	129.416966828553	158.219018003777	370.38462	4863.56601	723.597836	23.04
2026 Q4	133.395400442289	125.103397808723	385.277191313082	130.577570265018	159.532197334195	371.370849	4907.18217	749.600122	23.23
2027 Q1	133.595674228158	125.744347273218	386.571367225312	131.778005864452	160.795568174549	367.390877	4952.29525	744.418091	23.43
